restaurant_id;name;address;street1;street2;city;state;country;postal_code;latitude;longitude;phone;email;website;tripadvisor_location_id;tripadvisor_url;tripadvisor_rating;tripadvisor_rating_image_url;tripadvisor_review_count;tripadvisor_ranking_string;tripadvisor_price_level;tripadvisor_cuisine;ta_photo_1_url;ta_photo_1_caption;ta_photo_2_url;ta_photo_2_caption;ta_photo_3_url;ta_photo_3_caption;ta_photo_4_url;ta_photo_4_caption;ta_photo_5_url;ta_photo_5_caption;ta_review_1_text;ta_review_1_rating;ta_review_1_date;ta_review_1_title;ta_review_1_author;ta_review_2_text;ta_review_2_rating;ta_review_2_date;ta_review_2_title;ta_review_2_author;ta_review_3_text;ta_review_3_rating;ta_review_3_date;ta_review_3_title;ta_review_3_author;ta_review_4_text;ta_review_4_rating;ta_review_4_date;ta_review_4_title;ta_review_4_author;ta_review_5_text;ta_review_5_rating;ta_review_5_date;ta_review_5_title;ta_review_5_author;data_collected_at;api_calls_used
1;Iskender;;Kafiraga;;Ýstanbul;;Türkiye;34710;41,008224;28,978369;;;;33389078;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d33389078-Reviews-Iskender-Istanbul.html?m=66827;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:22:19.890512;3
2;Dervis Cafe & Restaurant;;Cankurtaran Mahallesi, Kabasakal Caddesi, No:2;;Ýstanbul;;Türkiye;34122;41,00646;28,97858;+90 212 516 15 15;;http://www.facebook.com/Dervish-Cafe-Restaurant-129419007138433/;1785680;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d1785680-Reviews-Dervis_Cafe_Restaurant-Istanbul.html?m=66827;3,8;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg;222;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 1.149. sýrada;$$ - $$$;cafe, turkish, middle_eastern, international;https://media-cdn.tripadvisor.com/media/photo-s/0c/b7/7c/36/20160827-114243-largejpg.jpg;;https://media-cdn.tripadvisor.com/media/photo-s/02/f1/1d/a0/dervis-cafe-restaurant.jpg;"ingresso
";https://media-cdn.tripadvisor.com/media/photo-s/08/eb/e6/4b/dervis-cafe-restaurant.jpg;Amazing baklava!;https://media-cdn.tripadvisor.com/media/photo-s/2f/d1/5a/e7/caption.jpg;;https://media-cdn.tripadvisor.com/media/photo-s/2e/20/32/64/caption.jpg;;Cok baþtansavma bi yaklasmlari var kimden ne koparirsak mantigi asla lezzet yok  fahiþ fiyat paranizu cope atmak için gidebilirsinz.garsonlar net konuþmuyo bu dolandiricu tavir beni çok irrite etti.o yuzden yorum yazdm .boga?daki cafelerle ayni fiyat ama kalite sifir;1;2025-06-29T15:28:31Z;Berbat;630sadiyee;Sultanahmet’e kendimi bildim bileli ne zaman gelsem hem mola için hemde Türk kahvesi içmek için aðaçlarýyla kendisini gölge eden bu çay bahçesine gelirim. Eskiden daha çok sakinken þimdi Araplar ve turistler tarafýndanda keþfedilmiþ olmasý sebebiyle biraz daha hareketli :);4;2023-08-05T02:55:12Z;Mola ve Kahve Mekaným;cansoydas17;Hizmetlerinden dolayi sef mehmet beye cok tesekkurler her sey cok guzeldi bizimle cok ilgilendi yemekleride cok lezzetli  konum olarakta ayasofya cami ve sultanahmet caminin ortasinda super konumu var personel de cok cana yakin tekrar gelecem 10/10tavsiye ederim;5;2022-06-12T07:34:16Z;Servis super;Ridvantdk34;;;;;;;;;;;2025-11-06T01:22:21.882936;3
3;Istanbul Kahvehanesi;;Kabasakal Cd. No:5;Cankurtaran Mh. Fatih;Ýstanbul;;Türkiye;34122;41,00667;28,97895;+90 212 517 67 84;;;16696896;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d16696896-Reviews-Istanbul_Kahvehanesi-Istanbul.html?m=66827;5;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/5.0-66827-5.svg;7;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 2.276. sýrada;;turkish;https://media-cdn.tripadvisor.com/media/photo-s/23/b3/92/fc/istanbul-kahvehanesi.jpg;;https://media-cdn.tripadvisor.com/media/photo-s/16/88/29/e0/istanbul-kahvehanesi.jpg;Istanbul Kahvehanesi;https://media-cdn.tripadvisor.com/media/photo-s/16/88/29/de/istanbul-kahvehanesi.jpg;Istanbul Kahvehanesi;https://media-cdn.tripadvisor.com/media/photo-s/23/b3/92/fd/istanbul-kahvehanesi.jpg;;https://media-cdn.tripadvisor.com/media/photo-s/2c/e9/08/c4/caption.jpg;;Sultanahmetde ki saklý cennet. Camileri meydanlarý gezdiniz. Ve sakin bir yerde soluklanmak istediniz. O kadar huzur dolu bir el sanatlarý merkezi ve avlusunda naif bir kahvahane. Gerçekten tüm yorgunluðunuzu alýyor mekan.;5;2021-10-01T13:37:52Z;Soluklan;Gezegenist;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:22:23.872289;3
4;Ela Kebap;;Emniyet Mah. Kaðýtçýbaþý Sok. No:83 ;Beylerbeyi, Üsküdar;Ýstanbul;;Türkiye;;41,03349;29,05049;+90 216 321 22 21;;;3464116;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d3464116-Reviews-Ela_Kebap-Istanbul.html?m=66827;4;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg;1;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 7.519. sýrada;;;;;;;;;;;;;iþyerimize yakýn bir kebap restoraný. genellikle öðle yemeði için gidiyoruz. gidemediðim zamanlarda da sipariþ veriyoruz. servisi hýzlý, kebaplari lezzetli...kebap tan baþka tencere yemekleri de var..;4;2017-07-12T11:11:19Z;güzel ;211nil_ferb;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:26:04.583563;3
5;Alya Garden Cafe;;Beylerbeyi, Burhaniye mah, Beybostaný Sk. No:39,;;Ýstanbul;;Türkiye;34676;41,034336;29,049406;;;;23404454;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d23404454-Reviews-Alya_Garden_Cafe-Istanbul.html?m=66827;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:26:06.615976;3
6;Rebidu Cafe & Restaurant;;Beylerbeyi Kavþaðý No:13;;Ýstanbul;;Türkiye;34676;41,03276;29,043606;+90 216 321 42 33;;https://www.instagram.com/redibucafe/;27494935;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d27494935-Reviews-Rebidu_Cafe_Restaurant-Istanbul.html?m=66827;;;0;;;turkish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:26:08.736953;3
7;Messt Cafe&Restaurant;;Rasim Aga Sok. No:19;Nakkastepe, Uskudar;Ýstanbul;;Türkiye;;41,03232;29,044516;5302525;info@messt.com.tr;http://www.messt.com.tr;2683094;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d2683094-Reviews-Messt_Cafe_Restaurant-Istanbul.html?m=66827;3,6;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/3.5-66827-5.svg;30;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 3.348. sýrada;$$ - $$$;international;https://media-cdn.tripadvisor.com/media/photo-s/08/86/24/54/messt-cafe-restaurant.jpg;Messt Cafe&Restaurant;https://media-cdn.tripadvisor.com/media/photo-o/04/6e/cb/db/messt-etti.jpg;messt etti;https://media-cdn.tripadvisor.com/media/photo-s/0f/55/f1/b6/photo0jpg.jpg;;https://media-cdn.tripadvisor.com/media/photo-s/09/31/49/e4/messt-cafe-restaurant.jpg;??????????? ??? ????????;https://media-cdn.tripadvisor.com/media/photo-s/0f/55/f1/b7/photo1jpg.jpg;;Konum manzara çok güzel sakin huzurlu yemekler kahvaltý güzel personel ilgili güler yüzlü fiyat konusunda gayet normal abartý gelmiyor hesap genel olarak tavsiye ediyorum herkese ;5;2018-01-22T07:53:24Z;Konum manzara ;sayarbulent;Ramazan'da iftar için gittik, ramazan olduðu için menü fix ti o yüzden serviste gecikme yaþamadýk, lezzetliydi, manzara olarak gerçekten güzel bir mekan , özel günlerinizde tercih edebilirsiniz hatta biz oradayken arka masalardan birinde evlilik teklifi yapýlýyordu , fiyat olarak emsallerinin ortalamasýnýn bir týk altýnda ;4;2017-09-10T04:47:00Z;Manzara ;ysfylmz;Arkadaþlarýmýzla akþam yemeðine gittiðiniz mekan , yemekler lezzetli manzara güzel, otopark var, çalýþanlar ilgili, haftasonu kahvaltý için yer ayýrtmalýsýnýz özellikle bahçede yer kalmýyor,.;4;2017-09-10T04:32:01Z;Lezzetli yemek ;seyseyy;Nedendir bilinmez ama öðrencilik yýllarýmda vazgeçemediðim yerlerden biridir.Manzarasý ve sessizlik açýsýndan harika.yemekleri fena deðil .garsonlar ilgili.Balýk menüsünü koymadan daha güzeldi çünkü mutfak dýþatýda olmasýna raðmen kapalý alanda balýk kokusu aðýr geliyor ama balýk ve mezeler lezzetli??yani özellikle gün batýmýnda gidip görülmeli ve istanbula uzaktan bakýlmalý;5;2017-08-27T20:23:41Z;Güzel??;363esras;Manzara iyi, lezzetler vasat, servis ise açýkcasý kötü. Ne zaman gitsem bu konuda hep sorunlar yaþadým.;3;2017-08-24T01:00:38Z;Ortalama bir yer!;aykans2017;2025-11-06T01:26:10.952021;3
8;Önerler Görele Pidecisi;;Küplüce Mah. Tomruk Cad. No:8 ;Beylerbeyi, Üsküdar;Ýstanbul;;Türkiye;;41,03272;29,06515;4222548;;;3574772;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d3574772-Reviews-Onerler_Gorele_Pidecisi-Istanbul.html?m=66827;3;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/3.0-66827-5.svg;1;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 7.934. sýrada;;turkish;;;;;;;;;;;Ýstanbul'da yöresel yemek ve lezzetlerin bulunabileceði birçok mekan, iþletme vardýr. Ortalama fiyatlý, yöresel lezzet iþletmeleri kategorisine alabiliriz Önerler'i. Esnaf lokantasý olarak dekore edilmiþ, mütevazý bir iþletmedir. Görele Pidesi aslýna uygun bir þekile yapýlmakta ve servis edilmektedir. Ben daha çok bu iþletmeye çok yakýn olan Ekizler PÝde'yi tercih etsem de, lezzet olarak aralarýnda çok fark yoktur, benim tercihim ikili iliþkiler nedeniyledir. ;3;2017-06-23T03:21:33Z;Görele pidesi denenecek iþletmelerden bir tanesi;brkdru;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:26:13.022679;3
9;Tuva Coffee;;Tuva Çamlýca;Çamlýca tepesi;Ýstanbul;;Türkiye;;41,029064;29,069853;+90 532 158 43 69;;;25460039;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d25460039-Reviews-Tuva_Coffee-Istanbul.html?m=66827;5;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/5.0-66827-5.svg;1;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 5.230. sýrada;;;;;;;;;;;;;Türk kahvesini ve tatlýsýný denedim. Tatlýsýdan da , kahvesiden de , hizmetiden de son olarak güler yüzüyle çok memnun kaldým. Herkese tavsiye ederim. Tekrardan tercih edeceðim.;5;2024-11-29T13:29:22Z;Tuva Cafe de güzel geçen bir gün;meldab2021;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:26:15.240396;3
10;Tuva Camlica Cafe Lounge;;Kýsýklý, Turistik Çamlýca Cd. No:89;;Ýstanbul;;Türkiye;34692;41,028847;29,069683;+90 546 275 75 43;tuvacamlica@gmail.com;https://www.tuvacamlica.com/;24883322;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d24883322-Reviews-Tuva_Camlica_Cafe_Lounge-Istanbul.html?m=66827;3,2;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/3.0-66827-5.svg;6;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 6.992. sýrada;$$ - $$$;turkish, steakhouse, fast_food, mediterranean;https://media-cdn.tripadvisor.com/media/photo-s/25/36/4d/47/tuva-cafe-and-lounge.jpg;Tuva Cafe and Lounge is the ideal place to enjoy the Bosphorus view with wide range of food and beverage options. While indoor and outdoor areas are available, you can capture the best memories in our terrace. ;https://media-cdn.tripadvisor.com/media/photo-s/2a/75/20/e6/caption.jpg;;https://media-cdn.tripadvisor.com/media/photo-s/2a/75/20/e5/caption.jpg;;https://media-cdn.tripadvisor.com/media/photo-s/2a/75/20/e4/caption.jpg;;https://media-cdn.tripadvisor.com/media/photo-s/28/de/c5/f2/cold-brew-muthis.jpg;Cold brew müthiþ ??;patates purenýz oyun hamuru gibi suan cocugum sýkýlmasin diye verdim cami yapti oyun hamurunuzdan. 5 yildizi cocugum mutlu oldu diye verdim. gozumde 1;5;2025-04-13T13:13:28Z;toyzshop menu;sessiza2025;Tatlilari berbat dý ben þahsen san sabastian aldým ve tadý tarih gecmiþ gibiydi arkadaþlarým da tiramisu aldýlar onlarýnkide hiç güzel deðildi;1;2024-02-24T06:31:51Z;GELMEYÝNNN??????????;zeynepyarens;Bir kaç ay önce gitmiþtim mükemmeldi. Bu kadar kýsa sürede bir iþletme kendini nasýl dibe vurur tam olarak bunu gördüm. Hangi biri söylesem bilemedim. Yemek,mekan,hizmet rezalett. Hem pahalý bide ürünlerini azaltmýþlar. Ýnanýlacak gibi deðil. Beraber gittiðimiz arkadaþlarýmýzýn hepsine yemediklerimiz dokundu. Ne koymuþmardý anlayamadýk. Bütün gece karýn aðrýsý çektik. Hayatýmda yediðim en berbat kahvaltýydý diyebilirim. ;1;2023-12-29T17:01:01Z;Berkat bir kahvaltý;esradE1815JX;Çok lezzetli bir kahvaltý yaptýk güler yüzlü servis için teþekkür ediyoruz manzara ise muhteþemdi   ;5;2023-09-29T09:08:08Z;Harika manzara;mehdiozturk;Manzaranýn güzel olduðu yerlerde hizmet genellikle zayýf olur.Çünku iþletme sadece manzarasýna güvenir.Burasýda öyle bir yer malesef.Hizmet ve kalite sýfýr servis yavaþ.3 kiþilik serpme kahvaltýya iki kiþilik malzeme servis ettiler.Tekrar tercih etmeyeceðim bir mekan..;2;2023-08-24T12:49:58Z;HÝZMET ZAYIF;oznk2023;2025-11-06T01:26:17.360412;3
